"","GeneName","EnsemblId","esti","pval","nbSegOver","plot","regionName"
"872","RBM12B-AS1","ENSG00000212998",NA,"NA",0,NA,"8-94500001-96360000-1860"
"873","TMEM67","ENSG00000164953",0.41,"0.0085",4,"reg_8-94500001-96360000-1860_ENSG00000164953_TMEM67.png","8-94500001-96360000-1860"
"874","PDP1","ENSG00000164951",0.36,"0.019",3,"reg_8-94500001-96360000-1860_ENSG00000164951_PDP1.png","8-94500001-96360000-1860"
"875","CDH17","ENSG00000079112",0.09,"0.3",4,"reg_8-94500001-96360000-1860_ENSG00000079112_CDH17.png","8-94500001-96360000-1860"
"876","GEM","ENSG00000164949",0.23,"0.097",1,"reg_8-94500001-96360000-1860_ENSG00000164949_GEM.png","8-94500001-96360000-1860"
"877","RAD54B","ENSG00000197275",0.4,"0.01",4,"reg_8-94500001-96360000-1860_ENSG00000197275_RAD54B.png","8-94500001-96360000-1860"
"878","FSBP","ENSG00000265817",0.28,"0.052",3,"reg_8-94500001-96360000-1860_ENSG00000265817_FSBP.png","8-94500001-96360000-1860"
"879","KIAA1429","ENSG00000164944",NA,"NA",0,NA,"8-94500001-96360000-1860"
"880","AC023632.1","ENSG00000212997",NA,"NA",0,NA,"8-94500001-96360000-1860"
"881","ESRP1","ENSG00000104413",0.29,"0.044",3,"reg_8-94500001-96360000-1860_ENSG00000104413_ESRP1.png","8-94500001-96360000-1860"
"882","DPY19L4","ENSG00000156162",0.28,"0.052",3,"reg_8-94500001-96360000-1860_ENSG00000156162_DPY19L4.png","8-94500001-96360000-1860"
"883","INTS8","ENSG00000164941",0.35,"0.022",3,"reg_8-94500001-96360000-1860_ENSG00000164941_INTS8.png","8-94500001-96360000-1860"
"884","CCNE2","ENSG00000175305",0.31,"0.038",1,"reg_8-94500001-96360000-1860_ENSG00000175305_CCNE2.png","8-94500001-96360000-1860"
"885","NDUFAF6","ENSG00000156170",0.03,"0.42",9,"reg_8-94500001-96360000-1860_ENSG00000156170_NDUFAF6.png","8-94500001-96360000-1860"
"886","TP53INP1","ENSG00000164938",0.15,"0.19",2,"reg_8-94500001-96360000-1860_ENSG00000164938_TP53INP1.png","8-94500001-96360000-1860"
"887","PLEKHF2","ENSG00000175895",0.28,"0.052",2,"reg_8-94500001-96360000-1860_ENSG00000175895_PLEKHF2.png","8-94500001-96360000-1860"
"888","C8orf37","ENSG00000156172",0.25,"0.07",2,"reg_8-94500001-96360000-1860_ENSG00000156172_C8orf37.png","8-94500001-96360000-1860"
"889","C8orf37","ENSG00000156172",0.25,"0.07",2,"reg_8-96390001-96540000-150_ENSG00000156172_C8orf37.png","8-96390001-96540000-150"
"890","GDF6","ENSG00000156466",-0.01,"0.52",1,"reg_8-96570001-97170000-600_ENSG00000156466_GDF6.png","8-96570001-97170000-600"
"891","UQCRB","ENSG00000156467",0.15,"0.19",1,"reg_8-97200001-98190000-990_ENSG00000156467_UQCRB.png","8-97200001-98190000-990"
"892","MTERFD1","ENSG00000156469",NA,"NA",0,NA,"8-97200001-98190000-990"
"893","PTDSS1","ENSG00000156471",0.27,"0.06",3,"reg_8-97200001-98190000-990_ENSG00000156471_PTDSS1.png","8-97200001-98190000-990"
"894","SDC2","ENSG00000169439",0.17,"0.16",5,"reg_8-97200001-98190000-990_ENSG00000169439_SDC2.png","8-97200001-98190000-990"
"895","CPQ","ENSG00000104324",0.17,"0.16",18,"reg_8-97200001-98190000-990_ENSG00000104324_CPQ.png","8-97200001-98190000-990"
"896","TSPYL5","ENSG00000180543",0.22,"0.11",1,"reg_8-98220001-98520000-300_ENSG00000180543_TSPYL5.png","8-98220001-98520000-300"
"897","MTDH","ENSG00000147649",0.33,"0.027",4,"reg_8-98580001-100320000-1740_ENSG00000147649_MTDH.png","8-98580001-100320000-1740"
"898","LAPTM4B","ENSG00000104341",0.25,"0.07",4,"reg_8-98580001-100320000-1740_ENSG00000104341_LAPTM4B.png","8-98580001-100320000-1740"
"899","MATN2","ENSG00000132561",0.22,"0.11",6,"reg_8-98580001-100320000-1740_ENSG00000132561_MATN2.png","8-98580001-100320000-1740"
"900","RPL30","ENSG00000156482",0.25,"0.07",1,"reg_8-98580001-100320000-1740_ENSG00000156482_RPL30.png","8-98580001-100320000-1740"
"901","C8orf47","ENSG00000177459",NA,"NA",0,NA,"8-98580001-100320000-1740"
"902","HRSP12","ENSG00000132541",NA,"NA",0,NA,"8-98580001-100320000-1740"
"903","POP1","ENSG00000104356",0.16,"0.17",2,"reg_8-98580001-100320000-1740_ENSG00000104356_POP1.png","8-98580001-100320000-1740"
"904","NIPAL2","ENSG00000104361",0.07,"0.34",5,"reg_8-98580001-100320000-1740_ENSG00000104361_NIPAL2.png","8-98580001-100320000-1740"
"905","STK3","ENSG00000104375",0.23,"0.092",19,"reg_8-98580001-100320000-1740_ENSG00000104375_STK3.png","8-98580001-100320000-1740"
"906","KCNS2","ENSG00000156486",0.13,"0.24",1,"reg_8-98580001-100320000-1740_ENSG00000156486_KCNS2.png","8-98580001-100320000-1740"
"907","OSR2","ENSG00000164920",0.2,"0.12",2,"reg_8-98580001-100320000-1740_ENSG00000164920_OSR2.png","8-98580001-100320000-1740"
"908","VPS13B","ENSG00000132549",0.46,"0.0036",27,"reg_8-98580001-100320000-1740_ENSG00000132549_VPS13B.png","8-98580001-100320000-1740"
"909","VPS13B","ENSG00000132549",0.46,"0.0036",27,"reg_8-100350001-100500000-150_ENSG00000132549_VPS13B.png","8-100350001-100500000-150"
"910","VPS13B","ENSG00000132549",0.46,"0.0036",27,"reg_8-100530001-100980000-450_ENSG00000132549_VPS13B.png","8-100530001-100980000-450"
"911","COX6C","ENSG00000164919",0.23,"0.092",2,"reg_8-100530001-100980000-450_ENSG00000164919_COX6C.png","8-100530001-100980000-450"
"912","RGS22","ENSG00000132554",-0.05,"0.6",6,"reg_8-100530001-100980000-450_ENSG00000132554_RGS22.png","8-100530001-100980000-450"
"913","RGS22","ENSG00000132554",-0.05,"0.6",6,"reg_8-101010001-102540000-1530_ENSG00000132554_RGS22.png","8-101010001-102540000-1530"
"914","FBXO43","ENSG00000156509",0.05,"0.4",1,"reg_8-101010001-102540000-1530_ENSG00000156509_FBXO43.png","8-101010001-102540000-1530"
"915","POLR2K","ENSG00000147669",0.23,"0.092",1,"reg_8-101010001-102540000-1530_ENSG00000147669_POLR2K.png","8-101010001-102540000-1530"
"916","SPAG1","ENSG00000104450",0.14,"0.21",4,"reg_8-101010001-102540000-1530_ENSG00000104450_SPAG1.png","8-101010001-102540000-1530"
"917","RNF19A","ENSG00000034677",0.16,"0.17",4,"reg_8-101010001-102540000-1530_ENSG00000034677_RNF19A.png","8-101010001-102540000-1530"
"918","ANKRD46","ENSG00000186106",0.24,"0.081",2,"reg_8-101010001-102540000-1530_ENSG00000186106_ANKRD46.png","8-101010001-102540000-1530"
"919","SNX31","ENSG00000174226",0.28,"0.054",4,"reg_8-101010001-102540000-1530_ENSG00000174226_SNX31.png","8-101010001-102540000-1530"
"920","PABPC1","ENSG00000070756",0.12,"0.24",3,"reg_8-101010001-102540000-1530_ENSG00000070756_PABPC1.png","8-101010001-102540000-1530"
"921","YWHAZ","ENSG00000164924",0.29,"0.044",2,"reg_8-101010001-102540000-1530_ENSG00000164924_YWHAZ.png","8-101010001-102540000-1530"
"922","ZNF706","ENSG00000120963",0.28,"0.052",2,"reg_8-101010001-102540000-1530_ENSG00000120963_ZNF706.png","8-101010001-102540000-1530"
"923","GRHL2","ENSG00000083307",0.39,"0.013",6,"reg_8-101010001-102540000-1530_ENSG00000083307_GRHL2.png","8-101010001-102540000-1530"
"924","GRHL2","ENSG00000083307",0.39,"0.013",6,"reg_8-102570001-103470000-900_ENSG00000083307_GRHL2.png","8-102570001-103470000-900"
"925","NCALD","ENSG00000104490",0.2,"0.12",15,"reg_8-102570001-103470000-900_ENSG00000104490_NCALD.png","8-102570001-103470000-900"
"926","RRM2B","ENSG00000048392",0.29,"0.044",2,"reg_8-102570001-103470000-900_ENSG00000048392_RRM2B.png","8-102570001-103470000-900"
"927","UBR5","ENSG00000104517",0.52,"0.0014",6,"reg_8-102570001-103470000-900_ENSG00000104517_UBR5.png","8-102570001-103470000-900"
"928","KB-1980E6.3","ENSG00000253633",NA,"NA",0,NA,"8-103500001-104790000-1290"
"929","ODF1","ENSG00000155087",-0.32,"0.95",1,"reg_8-103500001-104790000-1290_ENSG00000155087_ODF1.png","8-103500001-104790000-1290"
"930","KLF10","ENSG00000155090",0.11,"0.26",1,"reg_8-103500001-104790000-1290_ENSG00000155090_KLF10.png","8-103500001-104790000-1290"
"931","AZIN1","ENSG00000155096",0.09,"0.3",3,"reg_8-103500001-104790000-1290_ENSG00000155096_AZIN1.png","8-103500001-104790000-1290"
"932","KB-1507C5.2","ENSG00000253320",NA,"NA",0,NA,"8-103500001-104790000-1290"
"933","ATP6V1C1","ENSG00000155097",0.32,"0.032",3,"reg_8-103500001-104790000-1290_ENSG00000155097_ATP6V1C1.png","8-103500001-104790000-1290"
"934","C8orf56","ENSG00000236939",NA,"NA",0,NA,"8-103500001-104790000-1290"
"935","BAALC","ENSG00000164929",-0.2,"0.87",4,"reg_8-103500001-104790000-1290_ENSG00000164929_BAALC.png","8-103500001-104790000-1290"
"936","FZD6","ENSG00000164930",0.23,"0.092",2,"reg_8-103500001-104790000-1290_ENSG00000164930_FZD6.png","8-103500001-104790000-1290"
"937","CTHRC1","ENSG00000164932",0.05,"0.4",1,"reg_8-103500001-104790000-1290_ENSG00000164932_CTHRC1.png","8-103500001-104790000-1290"
"938","SLC25A32","ENSG00000164933",0.18,"0.15",1,"reg_8-103500001-104790000-1290_ENSG00000164933_SLC25A32.png","8-103500001-104790000-1290"
"939","DCAF13","ENSG00000164934",0.28,"0.052",2,"reg_8-103500001-104790000-1290_ENSG00000164934_DCAF13.png","8-103500001-104790000-1290"
"940","RIMS2","ENSG00000176406",-0.11,"0.74",25,"reg_8-103500001-104790000-1290_ENSG00000176406_RIMS2.png","8-103500001-104790000-1290"
"941","RIMS2","ENSG00000176406",-0.11,"0.74",25,"reg_8-104820001-107310000-2490_ENSG00000176406_RIMS2.png","8-104820001-107310000-2490"
"942","DPYS","ENSG00000147647",0.04,"0.42",5,"reg_8-104820001-107310000-2490_ENSG00000147647_DPYS.png","8-104820001-107310000-2490"
"943","DCSTAMP","ENSG00000164935",-0.12,"0.72",2,"reg_8-104820001-107310000-2490_ENSG00000164935_DCSTAMP.png","8-104820001-107310000-2490"
"944","LRP12","ENSG00000147650",0.36,"0.019",5,"reg_8-104820001-107310000-2490_ENSG00000147650_LRP12.png","8-104820001-107310000-2490"
"945","RP11-127H5.1","ENSG00000253350",NA,"NA",0,NA,"8-104820001-107310000-2490"
"946","ZFPM2","ENSG00000169946",0.01,"0.48",17,"reg_8-104820001-107310000-2490_ENSG00000169946_ZFPM2.png","8-104820001-107310000-2490"
"947","OXR1","ENSG00000164830",0.22,"0.11",16,"reg_8-104820001-107310000-2490_ENSG00000164830_OXR1.png","8-104820001-107310000-2490"
"948","OXR1","ENSG00000164830",0.22,"0.11",16,"reg_8-107340001-109290000-1950_ENSG00000164830_OXR1.png","8-107340001-109290000-1950"
"949","ABRA","ENSG00000174429",0.4,"0.016",1,"reg_8-107340001-109290000-1950_ENSG00000174429_ABRA.png","8-107340001-109290000-1950"
"950","ANGPT1","ENSG00000154188",0.3,"0.046",10,"reg_8-107340001-109290000-1950_ENSG00000154188_ANGPT1.png","8-107340001-109290000-1950"
"951","RSPO2","ENSG00000147655",-0.09,"0.68",7,"reg_8-107340001-109290000-1950_ENSG00000147655_RSPO2.png","8-107340001-109290000-1950"
"952","EIF3E","ENSG00000104408",0.24,"0.081",8,"reg_8-107340001-109290000-1950_ENSG00000104408_EIF3E.png","8-107340001-109290000-1950"
"953","EIF3E","ENSG00000104408",0.24,"0.081",8,"reg_8-109320001-117600000-8280_ENSG00000104408_EIF3E.png","8-109320001-117600000-8280"
"954","EMC2","ENSG00000104412",0.37,"0.015",2,"reg_8-109320001-117600000-8280_ENSG00000104412_EMC2.png","8-109320001-117600000-8280"
"955","TMEM74","ENSG00000164841",0.08,"0.32",7,"reg_8-109320001-117600000-8280_ENSG00000164841_TMEM74.png","8-109320001-117600000-8280"
"956","TRHR","ENSG00000174417",0.02,"0.46",3,"reg_8-109320001-117600000-8280_ENSG00000174417_TRHR.png","8-109320001-117600000-8280"
"957","NUDCD1","ENSG00000120526",0.42,"0.0069",4,"reg_8-109320001-117600000-8280_ENSG00000120526_NUDCD1.png","8-109320001-117600000-8280"
"958","ENY2","ENSG00000120533",0.41,"0.0085",1,"reg_8-109320001-117600000-8280_ENSG00000120533_ENY2.png","8-109320001-117600000-8280"
"959","PKHD1L1","ENSG00000205038",-0.12,"0.76",6,"reg_8-109320001-117600000-8280_ENSG00000205038_PKHD1L1.png","8-109320001-117600000-8280"
"960","EBAG9","ENSG00000147654",0.39,"0.013",1,"reg_8-109320001-117600000-8280_ENSG00000147654_EBAG9.png","8-109320001-117600000-8280"
"961","SYBU","ENSG00000147642",0.12,"0.25",5,"reg_8-109320001-117600000-8280_ENSG00000147642_SYBU.png","8-109320001-117600000-8280"
"962","RP11-422N16.3","ENSG00000248050",NA,"NA",0,NA,"8-109320001-117600000-8280"
"963","KCNV1","ENSG00000164794",-0.16,"0.83",1,"reg_8-109320001-117600000-8280_ENSG00000164794_KCNV1.png","8-109320001-117600000-8280"
"964","CSMD3","ENSG00000164796",0.18,"0.15",41,"reg_8-109320001-117600000-8280_ENSG00000164796_CSMD3.png","8-109320001-117600000-8280"
"965","RP11-67H2.1","ENSG00000253207",NA,"NA",0,NA,"8-109320001-117600000-8280"
"966","TRPS1","ENSG00000104447",0.4,"0.01",15,"reg_8-109320001-117600000-8280_ENSG00000104447_TRPS1.png","8-109320001-117600000-8280"
"967","EIF3H","ENSG00000147677",0.36,"0.019",5,"reg_8-117630001-120240000-2610_ENSG00000147677_EIF3H.png","8-117630001-120240000-2610"
"968","UTP23","ENSG00000147679",0.28,"0.052",4,"reg_8-117630001-120240000-2610_ENSG00000147679_UTP23.png","8-117630001-120240000-2610"
"969","RAD21","ENSG00000164754",0.31,"0.038",2,"reg_8-117630001-120240000-2610_ENSG00000164754_RAD21.png","8-117630001-120240000-2610"
"970","AARD","ENSG00000205002",0.2,"0.12",1,"reg_8-117630001-120240000-2610_ENSG00000205002_AARD.png","8-117630001-120240000-2610"
"971","SLC30A8","ENSG00000164756",0.03,"0.44",8,"reg_8-117630001-120240000-2610_ENSG00000164756_SLC30A8.png","8-117630001-120240000-2610"
"972","MED30","ENSG00000164758",0.4,"0.01",1,"reg_8-117630001-120240000-2610_ENSG00000164758_MED30.png","8-117630001-120240000-2610"
"973","EXT1","ENSG00000182197",0.35,"0.022",11,"reg_8-117630001-120240000-2610_ENSG00000182197_EXT1.png","8-117630001-120240000-2610"
"974","SAMD12","ENSG00000177570",0.22,"0.11",15,"reg_8-117630001-120240000-2610_ENSG00000177570_SAMD12.png","8-117630001-120240000-2610"
"975","AC023590.1","ENSG00000225885",NA,"NA",0,NA,"8-117630001-120240000-2610"
"976","TNFRSF11B","ENSG00000164761",-0.07,"0.66",2,"reg_8-117630001-120240000-2610_ENSG00000164761_TNFRSF11B.png","8-117630001-120240000-2610"
"977","COLEC10","ENSG00000184374",0.22,"0.1",4,"reg_8-117630001-120240000-2610_ENSG00000184374_COLEC10.png","8-117630001-120240000-2610"
"978","MAL2","ENSG00000147676",0.15,"0.19",3,"reg_8-117630001-120240000-2610_ENSG00000147676_MAL2.png","8-117630001-120240000-2610"
"979","MAL2","ENSG00000147676",0.15,"0.19",3,"reg_8-120270001-120300000-30_ENSG00000147676_MAL2.png","8-120270001-120300000-30"
"980","NOV","ENSG00000136999",NA,"NA",0,NA,"8-120330001-126570000-6240"
"981","ENPP2","ENSG00000136960",0.07,"0.35",5,"reg_8-120330001-126570000-6240_ENSG00000136960_ENPP2.png","8-120330001-126570000-6240"
"982","TAF2","ENSG00000064313",0.35,"0.022",5,"reg_8-120330001-126570000-6240_ENSG00000064313_TAF2.png","8-120330001-126570000-6240"
"983","DSCC1","ENSG00000136982",0.03,"0.42",1,"reg_8-120330001-126570000-6240_ENSG00000136982_DSCC1.png","8-120330001-126570000-6240"
"984","DEPTOR","ENSG00000155792",-0.08,"0.69",7,"reg_8-120330001-126570000-6240_ENSG00000155792_DEPTOR.png","8-120330001-126570000-6240"
"985","COL14A1","ENSG00000187955",0.28,"0.056",12,"reg_8-120330001-126570000-6240_ENSG00000187955_COL14A1.png","8-120330001-126570000-6240"
"986","MRPL13","ENSG00000172172",0.44,"0.0056",3,"reg_8-120330001-126570000-6240_ENSG00000172172_MRPL13.png","8-120330001-126570000-6240"
"987","MTBP","ENSG00000172167",0.36,"0.019",4,"reg_8-120330001-126570000-6240_ENSG00000172167_MTBP.png","8-120330001-126570000-6240"
"988","SNTB1","ENSG00000172164",0.31,"0.038",10,"reg_8-120330001-126570000-6240_ENSG00000172164_SNTB1.png","8-120330001-126570000-6240"
"989","HAS2","ENSG00000170961",-0.11,"0.73",2,"reg_8-120330001-126570000-6240_ENSG00000170961_HAS2.png","8-120330001-126570000-6240"
"990","ZHX2","ENSG00000178764",0.35,"0.022",7,"reg_8-120330001-126570000-6240_ENSG00000178764_ZHX2.png","8-120330001-126570000-6240"
"991","DERL1","ENSG00000136986",0.36,"0.019",2,"reg_8-120330001-126570000-6240_ENSG00000136986_DERL1.png","8-120330001-126570000-6240"
"992","TBC1D31","ENSG00000156787",0.27,"0.06",4,"reg_8-120330001-126570000-6240_ENSG00000156787_TBC1D31.png","8-120330001-126570000-6240"
"993","FAM83A","ENSG00000147689",0.06,"0.37",2,"reg_8-120330001-126570000-6240_ENSG00000147689_FAM83A.png","8-120330001-126570000-6240"
"994","C8orf76","ENSG00000189376",0.25,"0.07",1,"reg_8-120330001-126570000-6240_ENSG00000189376_C8orf76.png","8-120330001-126570000-6240"
"995","ZHX1-C8ORF76","ENSG00000259305",NA,"NA",0,NA,"8-120330001-126570000-6240"
"996","ZHX1","ENSG00000165156",0.24,"0.081",1,"reg_8-120330001-126570000-6240_ENSG00000165156_ZHX1.png","8-120330001-126570000-6240"
"997","ATAD2","ENSG00000156802",0.32,"0.032",4,"reg_8-120330001-126570000-6240_ENSG00000156802_ATAD2.png","8-120330001-126570000-6240"
"998","WDYHV1","ENSG00000156795",0.28,"0.052",3,"reg_8-120330001-126570000-6240_ENSG00000156795_WDYHV1.png","8-120330001-126570000-6240"
"999","FBXO32","ENSG00000156804",0.14,"0.21",2,"reg_8-120330001-126570000-6240_ENSG00000156804_FBXO32.png","8-120330001-126570000-6240"
"1000","KLHL38","ENSG00000175946",0,"0.5",1,"reg_8-120330001-126570000-6240_ENSG00000175946_KLHL38.png","8-120330001-126570000-6240"
"1001","ANXA13","ENSG00000104537",-0.12,"0.75",3,"reg_8-120330001-126570000-6240_ENSG00000104537_ANXA13.png","8-120330001-126570000-6240"
"1002","FAM91A1","ENSG00000176853",0.41,"0.0085",2,"reg_8-120330001-126570000-6240_ENSG00000176853_FAM91A1.png","8-120330001-126570000-6240"
"1003","FER1L6","ENSG00000214814",0.27,"0.063",10,"reg_8-120330001-126570000-6240_ENSG00000214814_FER1L6.png","8-120330001-126570000-6240"
"1004","TMEM65","ENSG00000164983",0.4,"0.01",3,"reg_8-120330001-126570000-6240_ENSG00000164983_TMEM65.png","8-120330001-126570000-6240"
"1005","TRMT12","ENSG00000183665",0.52,"0.0014",1,"reg_8-120330001-126570000-6240_ENSG00000183665_TRMT12.png","8-120330001-126570000-6240"
"1006","RNF139","ENSG00000170881",0.42,"0.0069",2,"reg_8-120330001-126570000-6240_ENSG00000170881_RNF139.png","8-120330001-126570000-6240"
"1007","TATDN1","ENSG00000147687",0.54,"0.00083",3,"reg_8-120330001-126570000-6240_ENSG00000147687_TATDN1.png","8-120330001-126570000-6240"
"1008","NDUFB9","ENSG00000147684",0.5,"0.0018",2,"reg_8-120330001-126570000-6240_ENSG00000147684_NDUFB9.png","8-120330001-126570000-6240"
"1009","MTSS1","ENSG00000170873",0.03,"0.42",7,"reg_8-120330001-126570000-6240_ENSG00000170873_MTSS1.png","8-120330001-126570000-6240"
"1010","ZNF572","ENSG00000180938",0.23,"0.092",1,"reg_8-120330001-126570000-6240_ENSG00000180938_ZNF572.png","8-120330001-126570000-6240"
"1011","SQLE","ENSG00000104549",0.37,"0.015",2,"reg_8-120330001-126570000-6240_ENSG00000104549_SQLE.png","8-120330001-126570000-6240"
"1012","KIAA0196","ENSG00000164961",NA,"NA",0,NA,"8-120330001-126570000-6240"
"1013","NSMCE2","ENSG00000156831",0.45,"0.0045",10,"reg_8-120330001-126570000-6240_ENSG00000156831_NSMCE2.png","8-120330001-126570000-6240"
"1014","TRIB1","ENSG00000173334",0.24,"0.081",2,"reg_8-120330001-126570000-6240_ENSG00000173334_TRIB1.png","8-120330001-126570000-6240"
"1015","FAM84B","ENSG00000168672",0.44,"0.0056",1,"reg_8-126600001-128040000-1440_ENSG00000168672_FAM84B.png","8-126600001-128040000-1440"
"1016","POU5F1B","ENSG00000212993",0.25,"0.07",1,"reg_8-128070001-128160000-90_ENSG00000212993_POU5F1B.png","8-128070001-128160000-90"
"1017","POU5F1B","ENSG00000212993",0.25,"0.07",1,"reg_8-128220001-128310000-90_ENSG00000212993_POU5F1B.png","8-128220001-128310000-90"
"1018","POU5F1B","ENSG00000212993",0.25,"0.07",1,"reg_8-128340001-128430000-90_ENSG00000212993_POU5F1B.png","8-128340001-128430000-90"
"1019","MYC","ENSG00000136997",0.45,"0.0045",1,"reg_8-128460001-129330000-870_ENSG00000136997_MYC.png","8-128460001-129330000-870"
"1020","TMEM75","ENSG00000256655",NA,"NA",0,NA,"8-128460001-129330000-870"
"1021","TMEM75","ENSG00000256655",NA,"NA",0,NA,"8-129360001-129720000-360"
"1022","GSDMC","ENSG00000147697",0.62,"0.00031",2,"reg_8-129750001-132240000-2490_ENSG00000147697_GSDMC.png","8-129750001-132240000-2490"
"1023","FAM49B","ENSG00000153310",0.32,"0.032",7,"reg_8-129750001-132240000-2490_ENSG00000153310_FAM49B.png","8-129750001-132240000-2490"
"1024","ASAP1","ENSG00000153317",0.33,"0.027",14,"reg_8-129750001-132240000-2490_ENSG00000153317_ASAP1.png","8-129750001-132240000-2490"
"1025","ADCY8","ENSG00000155897",0.11,"0.28",9,"reg_8-129750001-132240000-2490_ENSG00000155897_ADCY8.png","8-129750001-132240000-2490"
"1026","EFR3A","ENSG00000132294",0.22,"0.11",5,"reg_8-132270001-133860000-1590_ENSG00000132294_EFR3A.png","8-132270001-133860000-1590"
"1027","OC90","ENSG00000258417",NA,"NA",0,NA,"8-132270001-133860000-1590"
"1028","OC90","ENSG00000253117",0.33,"0.051",2,"reg_8-132270001-133860000-1590_ENSG00000253117_OC90.png","8-132270001-133860000-1590"
"1029","HHLA1","ENSG00000132297",0.23,"0.092",3,"reg_8-132270001-133860000-1590_ENSG00000132297_HHLA1.png","8-132270001-133860000-1590"
"1030","KCNQ3","ENSG00000184156",0.1,"0.27",13,"reg_8-132270001-133860000-1590_ENSG00000184156_KCNQ3.png","8-132270001-133860000-1590"
"1031","LRRC6","ENSG00000129295",0.29,"0.044",5,"reg_8-132270001-133860000-1590_ENSG00000129295_LRRC6.png","8-132270001-133860000-1590"
"1032","TMEM71","ENSG00000165071",-0.15,"0.8",4,"reg_8-132270001-133860000-1590_ENSG00000165071_TMEM71.png","8-132270001-133860000-1590"
"1033","PHF20L1","ENSG00000129292",0.44,"0.0056",3,"reg_8-132270001-133860000-1590_ENSG00000129292_PHF20L1.png","8-132270001-133860000-1590"
"1034","TG","ENSG00000042832",0.15,"0.19",9,"reg_8-133890001-135450000-1560_ENSG00000042832_TG.png","8-133890001-135450000-1560"
"1035","SLA","ENSG00000155926",0.15,"0.21",3,"reg_8-133890001-135450000-1560_ENSG00000155926_SLA.png","8-133890001-135450000-1560"
"1036","WISP1","ENSG00000104415",NA,"NA",0,NA,"8-133890001-135450000-1560"
"1037","NDRG1","ENSG00000104419",0.08,"0.31",4,"reg_8-133890001-135450000-1560_ENSG00000104419_NDRG1.png","8-133890001-135450000-1560"
"1038","ST3GAL1","ENSG00000008513",0.22,"0.11",5,"reg_8-133890001-135450000-1560_ENSG00000008513_ST3GAL1.png","8-133890001-135450000-1560"
"1039","ZFAT","ENSG00000066827",0.24,"0.081",9,"reg_8-135480001-136080000-600_ENSG00000066827_ZFAT.png","8-135480001-136080000-600"
"1040","KHDRBS3","ENSG00000131773",0.35,"0.022",7,"reg_8-136110001-136560000-450_ENSG00000131773_KHDRBS3.png","8-136110001-136560000-450"
"1041","KHDRBS3","ENSG00000131773",0.35,"0.022",7,"reg_8-136590001-140670000-4080_ENSG00000131773_KHDRBS3.png","8-136590001-140670000-4080"
"1042","FAM135B","ENSG00000147724",0.07,"0.34",13,"reg_8-136590001-140670000-4080_ENSG00000147724_FAM135B.png","8-136590001-140670000-4080"
"1043","COL22A1","ENSG00000169436",0.04,"0.41",12,"reg_8-136590001-140670000-4080_ENSG00000169436_COL22A1.png","8-136590001-140670000-4080"
"1044","KCNK9","ENSG00000169427",0.04,"0.41",3,"reg_8-136590001-140670000-4080_ENSG00000169427_KCNK9.png","8-136590001-140670000-4080"
"1045","KCNK9","ENSG00000169427",0.04,"0.41",3,"reg_8-140700001-141480000-780_ENSG00000169427_KCNK9.png","8-140700001-141480000-780"
"1046","TRAPPC9","ENSG00000167632",0.11,"0.26",25,"reg_8-140700001-141480000-780_ENSG00000167632_TRAPPC9.png","8-140700001-141480000-780"
"1047","C8orf17","ENSG00000250733",NA,"NA",0,NA,"8-140700001-141480000-780"
"1048","CHRAC1","ENSG00000104472",0.36,"0.019",1,"reg_8-141510001-142740000-1230_ENSG00000104472_CHRAC1.png","8-141510001-142740000-1230"
"1049","AGO2","ENSG00000123908",0.37,"0.015",4,"reg_8-141510001-142740000-1230_ENSG00000123908_AGO2.png","8-141510001-142740000-1230"
"1050","PTK2","ENSG00000169398",0.42,"0.0069",12,"reg_8-141510001-142740000-1230_ENSG00000169398_PTK2.png","8-141510001-142740000-1230"
"1051","DENND3","ENSG00000105339",0.45,"0.0045",4,"reg_8-141510001-142740000-1230_ENSG00000105339_DENND3.png","8-141510001-142740000-1230"
"1052","SLC45A4","ENSG00000022567",0.44,"0.0056",4,"reg_8-141510001-142740000-1230_ENSG00000022567_SLC45A4.png","8-141510001-142740000-1230"
"1053","RP11-10J21.3","ENSG00000254019",NA,"NA",0,NA,"8-141510001-142740000-1230"
"1054","GPR20","ENSG00000204882",0.5,"0.0032",1,"reg_8-141510001-142740000-1230_ENSG00000204882_GPR20.png","8-141510001-142740000-1230"
"1055","PTP4A3","ENSG00000184489",0.54,"0.00083",3,"reg_8-141510001-142740000-1230_ENSG00000184489_PTP4A3.png","8-141510001-142740000-1230"
"1056","AC138647.1","ENSG00000226490",0.1,"0.29",1,"reg_8-141510001-142740000-1230_ENSG00000226490_AC138647.1.png","8-141510001-142740000-1230"
"1057","AC138647.1","ENSG00000226490",0.1,"0.29",1,"reg_8-142830001-142950000-120_ENSG00000226490_AC138647.1.png","8-142830001-142950000-120"
"1058","TSNARE1","ENSG00000171045",0.79,"2.3e-06",7,"reg_8-142980001-144510000-1530_ENSG00000171045_TSNARE1.png","8-142980001-144510000-1530"
"1059","BAI1","ENSG00000181790",NA,"NA",0,NA,"8-142980001-144510000-1530"
"1060","ARC","ENSG00000198576",0.18,"0.15",1,"reg_8-142980001-144510000-1530_ENSG00000198576_ARC.png","8-142980001-144510000-1530"
"1061","PSCA","ENSG00000167653",0.14,"0.2",2,"reg_8-142980001-144510000-1530_ENSG00000167653_PSCA.png","8-142980001-144510000-1530"
